Broadcast Media,MEDIA.ONLINE.BROADCASTING
Oil & Energy,ENERGY_OR_UTILITIES_AND_WASTE.ELECTRICITY_OR_OIL_AND_GAS
Internet,TELECOMMUNICATIONS.INTERNET_SERVICE_PROVIDERS_OR_WEBSITE_HOSTING_AND_INTERNET_RELATED_SERVICES
Electrical & Electronic Manufacturing,MANUFACTURING.ELECTRONICS
Civil Engineering,CONSTRUCTION.CIVIL_ENGINEERING_CONSTRUCTION
Marketing & Advertising,BUSINESS_SERVICES.ADVERTISING_AND_MARKETING
E-learning,EDUCATION.E-LEARNING
Real Estate,REAL_ESTATE
Logistics & Supply Chain,TRANSPORTATION.FREIGHT_AND_LOGISTICS_SERVICES
Research,RESEARCH
Nonprofit Organization Management,ORGANIZATIONS.NON_PROFIT_AND_CHARITABLE_ORGANIZATIONS
Defense & Space,MANUFACTURING.AEROSPACE_AND_DEFENSE
Information Technology & Services,BUSINESS_SERVICES.CUSTOM_SOFTWARE_AND_IT_SERVICES
Design,BUSINESS_SERVICES.MULTIMEDIA_AND_GRAPHIC_DESIGN
Biotechnology,HEALTHCARE_SERVICES.BIOTECHNOLOGY
Retail,RETAIL
Staffing & Recruiting,BUSINESS_SERVICES.HR_AND_STAFFING
Leisure & Travel,HOSPITALITY.TRAVEL_AGENCIES_AND_SERVICES
Financial Services,FINANCE
Newspapers,NEWSPAPERS_AND_NEWS_SERVICES|MEDIA.OFFLINE.NEWSPAPERS_AND_NEWS_SERVICES
Insurance,INSURANCE
Machinery,MANUFACTURING.INDUSTRIAL_MACHINERY_AND_EQUIPMENT
Banking,FINANCE.BANKING
Human Resources,BUSINESS_SERVICES.HR_AND_STAFFING
Computer & Network Security,SOFTWARE.NETWORK_SECURITY
Management Consulting,BUSINESS_SERVICES.MANAGEMENT_CONSULTING
Hospital & Health Care,HEALTHCARE_SERVICES.MEDICAL_AND_SURGICAL_HOSPITALS
Medical Practice,HEALTHCARE_SERVICES
Military,GOVERNMENT.MILITARY
Semiconductors,MANUFACTURING.ELECTRONICS
Computer Software,SOFTWARE
"Health, Wellness & Fitness",HOSPITALITY.FITNESS_AND_DANCE_FACILITIES
Graphic Design,BUSINESS_SERVICES.MULTIMEDIA_AND_GRAPHIC_DESIGN
Accounting,BUSINESS_SERVICES.ACCOUNTING_SERVICES
Telecommunications,TELECOMMUNICATIONS
Outsourcing/Offshoring,BUSINESS_SERVICES.OUTSOURCING_OR_OFFSHORING
Sports,HOSPITALITY.SPORTS_TEAMS_AND_LEAGUES
Government Administration,GOVERNMENT
Environmental Services,ENERGY_OR_UTILITIES_AND_WASTE.WASTE_TREATMENT_OR_ENVIRONMENTAL_SERVICES_AND_RECYCLING
Medical Device,MANUFACTURING.MEDICAL_DEVICES_AND_EQUIPMENT
Import & Export,BUSINESS_SERVICES.TRADE
Food & Beverages,MANUFACTURING.FOOD_AND_BEVERAGE
Mechanical or Industrial Engineering,MANUFACTURING.MECHANICAL_OR_INDUSTRIAL_ENGINEERING
